0.000000000000000000e+00	-1.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.000000000000000000e+01	5.000000000000000000e+01
1.000000000000000021e-02	-9.999950000041248899e+00	9.999983250008330493e-03	4.999983250022358230e-04	4.999950000166248998e+01	4.999999999998749445e+01
2.000000000000000042e-02	-9.999800000664997413e+00	1.999986650026665952e-02	1.999973300142442525e-03	4.999800002664984078e+01	4.999999999994998490e+01
2.999999999999999889e-02	-9.999550003371238560e+00	2.999954975202498084e-02	4.499864926621110692e-03	4.999550013496087075e+01	4.999999999988749266e+01
4.000000000000000083e-02	-9.999200010659938798e+00	3.999893300853329253e-02	7.999573209105671420e-03	4.999200042659086307e+01	4.999999999979996801e+01
5.000000000000000278e-02	-9.998750026031030913e+00	4.999791627604151245e-02	1.249895815973028207e-02	4.998750104152777141e+01	4.999999999968750330e+01
5.999999999999999778e-02	-9.998200053984351854e+00	5.999639956479944913e-02	1.799783980369533756e-02	4.998200215974635086e+01	4.999999999955004881e+01
7.000000000000000666e-02	-9.997550100019614305e+00	6.999428289005669990e-02	2.449599818646642016e-02	4.997550400120110226e+01	4.999999999938756901e+01
8.000000000000000167e-02	-9.996800170636356953e+00	7.999146627306247259e-02	3.199317338257245957e-02	4.996800682581754671e+01	4.999999999920012073e+01
8.999999999999999667e-02	-9.995950273333866321e+00	8.998784974206547327e-02	4.048906550600277210e-02	4.995951093348169536e+01	4.999999999898769687e+01
1.000000000000000056e-01	-9.995000416611109273e+00	9.998333333331343997e-02	4.998333472220232998e-02	4.995001666402812646e+01	4.999999999875032586e+01
1.100000000000000006e-01	-9.993950609966645970e+00	1.099778170920529541e-01	6.047560126166527661e-02	4.993952439722635006e+01	4.999999999848801480e+01
1.199999999999999956e-01	-9.992800863898533947e+00	1.199712010735288631e-01	7.196544543512546632e-02	4.992803455276564506e+01	4.999999999820077079e+01
1.300000000000000044e-01	-9.991551189904226860e+00	1.299633853439837727e-01	8.445240765034409125e-02	4.991554759023828325e+01	4.999999999788862937e+01
1.400000000000000133e-01	-9.990201600480446587e+00	1.399542699816574420e-01	9.793598843049330926e-02	4.990206400912104101e+01	4.999999999755153368e+01
1.499999999999999944e-01	-9.988752109123080203e+00	1.499437550777858730e-01	1.124156484341351792e-01	4.988758434875538939e+01	4.999999999718952637e+01
1.600000000000000033e-01	-9.987202730327030764e+00	1.599317407376005806e-01	1.278908084767954312e-01	4.987210918832585094e+01	4.999999999680264295e+01
1.700000000000000122e-01	-9.985553479586073422e+00	1.699181270813273914e-01	1.443608495541306436e-01	4.985563914683677211e+01	4.999999999639090476e+01
1.799999999999999933e-01	-9.983804373392702658e+00	1.799028142451851997e-01	1.618251128666880756e-01	4.983817488308762478e+01	4.999999999595431177e+01
1.900000000000000022e-01	-9.981955429237961752e+00	1.898857023823847245e-01	1.802828998462579491e-01	4.981971709564660955e+01	4.999999999549286400e+01
2.000000000000000111e-01	-9.980006665611282912e+00	1.998666916641269886e-01	1.997334721838160410e-01	4.980026652282281674e+01	4.999999999500663250e+01
2.099999999999999922e-01	-9.977958102000279439e+00	2.098456822806015476e-01	2.201760518590558657e-01	4.977982394263651145e+01	4.999999999449556753e+01
2.200000000000000011e-01	-9.975809758890575196e+00	2.198225744419845251e-01	2.416098211715091426e-01	4.975839017278821785e+01	4.999999999395972594e+01
2.300000000000000100e-01	-9.973561657765580790e+00	2.297972683794365922e-01	2.640339227732540484e-01	4.973596607062585662e+01	4.999999999339910772e+01
2.399999999999999911e-01	-9.971213821106289288e+00	2.397696643461006971e-01	2.874474597032089518e-01	4.971255253311054645e+01	4.999999999281375551e+01
2.500000000000000000e-01	-9.968766272391052397e+00	2.497396626180994894e-01	3.118494954230107696e-01	4.968815049678070039e+01	4.999999999220371194e+01
2.600000000000000089e-01	-9.966219036095331774e+00	2.597071634955321340e-01	3.372390538544752792e-01	4.966276093771448075e+01	4.999999999156895569e+01
2.700000000000000178e-01	-9.963572137691473429e+00	2.696720673034726512e-01	3.636151194186434399e-01	4.963638487149091816e+01	4.999999999090956493e+01
2.800000000000000266e-01	-9.960825603648437720e+00	2.796342743929650099e-01	3.909766370764001797e-01	4.960902335314913358e+01	4.999999999022553254e+01
2.899999999999999800e-01	-9.957979461431541779e+00	2.895936851420203850e-01	4.193225123706781909e-01	4.958067747714621021e+01	4.999999998951688696e+01
2.999999999999999889e-01	-9.955033739502184176e+00	2.995501999566135276e-01	4.486516114702357449e-01	4.955134837731342401e+01	4.999999998878365659e+01
3.099999999999999978e-01	-9.951988467317558928e+00	3.095037192716785790e-01	4.789627612150101355e-01	4.952103722681084719e+01	4.999999998802585566e+01
3.200000000000000067e-01	-9.948843675330364178e+00	3.194541435521041639e-01	5.102547491630418097e-01	4.948974523808049497e+01	4.999999998724353389e+01
3.300000000000000155e-01	-9.945599394988493103e+00	3.294013732937297045e-01	5.425263236389753496e-01	4.945747366279773871e+01	4.999999998643671262e+01
3.400000000000000244e-01	-9.942255658734726609e+00	3.393453090243397918e-01	5.757761937841233690e-01	4.942422379182134762e+01	4.999999998560546999e+01
3.500000000000000333e-01	-9.938812500006394046e+00	3.492858513046592228e-01	6.100030296081025982e-01	4.938999695514167598e+01	4.999999998474977758e+01
3.599999999999999867e-01	-9.935269953235058793e+00	3.592229007293472054e-01	6.452054620420322184e-01	4.935479452182768512e+01	4.999999998386972067e+01
3.699999999999999956e-01	-9.931628053846157655e+00	3.691563579279914520e-01	6.813820829932966117e-01	4.931861789997201129e+01	4.999999998296530634e+01
